"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"PTGDS_PTGDR","PTGDS_PTGDR","EICOSANOID","PTGDS","PTGDR","","","","","","Small Molecule-Mediated","PTGDS - PTGDR"
"PTGDS_PTGDR2","PTGDS_PTGDR2","EICOSANOID","PTGDS","PTGDR2","","","","","","Small Molecule-Mediated","PTGDS - PTGDR2"
"PTGDS_PTGER1","PTGDS_PTGER1","EICOSANOID","PTGDS","PTGER1","","","","","","Small Molecule-Mediated","PTGDS - PTGER1"
"PTGDS_PTGER2","PTGDS_PTGER2","EICOSANOID","PTGDS","PTGER2","","","","","","Small Molecule-Mediated","PTGDS - PTGER2"
"PTGDS_PTGER3","PTGDS_PTGER3","EICOSANOID","PTGDS","PTGER3","","","","","","Small Molecule-Mediated","PTGDS - PTGER3"
"PTGDS_PTGER4","PTGDS_PTGER4","EICOSANOID","PTGDS","PTGER4","","","","","","Small Molecule-Mediated","PTGDS - PTGER4"
"PTGDS_PTGFR","PTGDS_PTGFR","EICOSANOID","PTGDS","PTGFR","","","","","","Small Molecule-Mediated","PTGDS - PTGFR"
"PTGDS_PTGIR","PTGDS_PTGIR","EICOSANOID","PTGDS","PTGIR","","","","","","Small Molecule-Mediated","PTGDS - PTGIR"
"PTGES_PTGDR","PTGES_PTGDR","EICOSANOID","PTGES","PTGDR","","","","","","Small Molecule-Mediated","PTGES - PTGDR"
"PTGES_PTGDR2","PTGES_PTGDR2","EICOSANOID","PTGES","PTGDR2","","","","","","Small Molecule-Mediated","PTGES - PTGDR2"
"PTGES_PTGER1","PTGES_PTGER1","EICOSANOID","PTGES","PTGER1","","","","","","Small Molecule-Mediated","PTGES - PTGER1"
"PTGES_PTGER2","PTGES_PTGER2","EICOSANOID","PTGES","PTGER2","","","","","","Small Molecule-Mediated","PTGES - PTGER2"
"PTGES_PTGER3","PTGES_PTGER3","EICOSANOID","PTGES","PTGER3","","","","","","Small Molecule-Mediated","PTGES - PTGER3"
"PTGES_PTGER4","PTGES_PTGER4","EICOSANOID","PTGES","PTGER4","","","","","","Small Molecule-Mediated","PTGES - PTGER4"
"PTGES_PTGFR","PTGES_PTGFR","EICOSANOID","PTGES","PTGFR","","","","","","Small Molecule-Mediated","PTGES - PTGFR"
"PTGES_PTGIR","PTGES_PTGIR","EICOSANOID","PTGES","PTGIR","","","","","","Small Molecule-Mediated","PTGES - PTGIR"
"PTGES_TBXA2R","PTGES_TBXA2R","EICOSANOID","PTGES","TBXA2R","","","","","","Small Molecule-Mediated","PTGES - TBXA2R"
"PTGES2_PTGDR","PTGES2_PTGDR","EICOSANOID","PTGES2","PTGDR","","","","","","Small Molecule-Mediated","PTGES2 - PTGDR"
"PTGES2_PTGDR2","PTGES2_PTGDR2","EICOSANOID","PTGES2","PTGDR2","","","","","","Small Molecule-Mediated","PTGES2 - PTGDR2"
"PTGES2_PTGER1","PTGES2_PTGER1","EICOSANOID","PTGES2","PTGER1","","","","","","Small Molecule-Mediated","PTGES2 - PTGER1"
"PTGES2_PTGER2","PTGES2_PTGER2","EICOSANOID","PTGES2","PTGER2","","","","","","Small Molecule-Mediated","PTGES2 - PTGER2"
"PTGES2_PTGER3","PTGES2_PTGER3","EICOSANOID","PTGES2","PTGER3","","","","","","Small Molecule-Mediated","PTGES2 - PTGER3"
"PTGES2_PTGER4","PTGES2_PTGER4","EICOSANOID","PTGES2","PTGER4","","","","","","Small Molecule-Mediated","PTGES2 - PTGER4"
"PTGES2_PTGFR","PTGES2_PTGFR","EICOSANOID","PTGES2","PTGFR","","","","","","Small Molecule-Mediated","PTGES2 - PTGFR"
"PTGES2_PTGIR","PTGES2_PTGIR","EICOSANOID","PTGES2","PTGIR","","","","","","Small Molecule-Mediated","PTGES2 - PTGIR"
"PTGES3_PTGDR","PTGES3_PTGDR","EICOSANOID","PTGES3","PTGDR","","","","","","Small Molecule-Mediated","PTGES3 - PTGDR"
"PTGES3_PTGDR2","PTGES3_PTGDR2","EICOSANOID","PTGES3","PTGDR2","","","","","","Small Molecule-Mediated","PTGES3 - PTGDR2"
"PTGES3_PTGER1","PTGES3_PTGER1","EICOSANOID","PTGES3","PTGER1","","","","","","Small Molecule-Mediated","PTGES3 - PTGER1"
"PTGES3_PTGER2","PTGES3_PTGER2","EICOSANOID","PTGES3","PTGER2","","","","","","Small Molecule-Mediated","PTGES3 - PTGER2"
"PTGES3_PTGER3","PTGES3_PTGER3","EICOSANOID","PTGES3","PTGER3","","","","","","Small Molecule-Mediated","PTGES3 - PTGER3"
"PTGES3_PTGER4","PTGES3_PTGER4","EICOSANOID","PTGES3","PTGER4","","","","","","Small Molecule-Mediated","PTGES3 - PTGER4"
"PTGES3_PTGFR","PTGES3_PTGFR","EICOSANOID","PTGES3","PTGFR","","","","","","Small Molecule-Mediated","PTGES3 - PTGFR"
"PTGES3_PTGIR","PTGES3_PTGIR","EICOSANOID","PTGES3","PTGIR","","","","","","Small Molecule-Mediated","PTGES3 - PTGIR"
"PTGIS_PTGDR","PTGIS_PTGDR","EICOSANOID","PTGIS","PTGDR","","","","","","Small Molecule-Mediated","PTGIS - PTGDR"
"PTGIS_PTGDR2","PTGIS_PTGDR2","EICOSANOID","PTGIS","PTGDR2","","","","","","Small Molecule-Mediated","PTGIS - PTGDR2"
"PTGIS_PTGER1","PTGIS_PTGER1","EICOSANOID","PTGIS","PTGER1","","","","","","Small Molecule-Mediated","PTGIS - PTGER1"
"PTGIS_PTGER2","PTGIS_PTGER2","EICOSANOID","PTGIS","PTGER2","","","","","","Small Molecule-Mediated","PTGIS - PTGER2"
"PTGIS_PTGER3","PTGIS_PTGER3","EICOSANOID","PTGIS","PTGER3","","","","","","Small Molecule-Mediated","PTGIS - PTGER3"
"PTGIS_PTGER4","PTGIS_PTGER4","EICOSANOID","PTGIS","PTGER4","","","","","","Small Molecule-Mediated","PTGIS - PTGER4"
"PTGIS_PTGFR","PTGIS_PTGFR","EICOSANOID","PTGIS","PTGFR","","","","","","Small Molecule-Mediated","PTGIS - PTGFR"
"PTGIS_PTGIR","PTGIS_PTGIR","EICOSANOID","PTGIS","PTGIR","","","","","","Small Molecule-Mediated","PTGIS - PTGIR"
"PTGIS_TBXA2R","PTGIS_TBXA2R","EICOSANOID","PTGIS","TBXA2R","","","","","","Small Molecule-Mediated","PTGIS - TBXA2R"
"PTGS1_TBXA2R","PTGS1_TBXA2R","EICOSANOID","PTGS1","TBXA2R","","","","","","Small Molecule-Mediated","PTGS1 - TBXA2R"
"PTGS2_FPR2","PTGS2_FPR2","EICOSANOID","PTGS2","FPR2","","","","","","Small Molecule-Mediated","PTGS2 - FPR2"
"PTGS2_PTGDR","PTGS2_PTGDR","EICOSANOID","PTGS2","PTGDR","","","","","","Small Molecule-Mediated","PTGS2 - PTGDR"
"PTGS2_PTGER2","PTGS2_PTGER2","EICOSANOID","PTGS2","PTGER2","","","","","","Small Molecule-Mediated","PTGS2 - PTGER2"
"PTGS2_PTGER3","PTGS2_PTGER3","EICOSANOID","PTGS2","PTGER3","","","","","","Small Molecule-Mediated","PTGS2 - PTGER3"
"PTGS2_PTGER4","PTGS2_PTGER4","EICOSANOID","PTGS2","PTGER4","","","","","","Small Molecule-Mediated","PTGS2 - PTGER4"
